PID,POIs,Priority = 5,Priority = 4,Priority = 3,Priority = 2,Priority = 1
POI1,India Gate,History and Culture,Scenic,,,
POI2,Qutub Minar,History and Culture,Scenic,,,
POI3,Akshardham Temple Delhi,Religious,Scenic,,,
POI4,Humayun's Tomb,History and Culture,Scenic,Local Experience,,
POI5,Hauz Khas Village,Shopping,Local Experience,,,
POI6,Museum of Illusions,Museum,History and Culture,,,
POI7,"National Gallery Of Modern Art, Delhi",Scenic,Scenic,,,
POI8,Lotus Temple,Religious,,,,
POI9,Red Fort,History and Culture,Scenic,Local Experience,,
POI10,Agrasen ki Baoli,Scenic,,,,
POI11,Garden of Five Senses,Scenic,,,,
POI12,Lodhi Garden,Scenic,,,,
POI13,Waste to Wonder Park,Adventure,Scenic,,,
POI14,Chandni Chowk,Local Experience,Shopping,,,
POI15,Dilli Haat,Shopping,Local Experience,,,
POI16,Bharat Darshan Park,Scenic,,,,
POI17,Gurudwara Bangla Sahib,Religious,History and Culture,,,
POI18,Pradhanmantri Sangrahalaya,Museum,History and Culture,,,
POI19,"Rail Museum, Delhi",Museum,History and Culture,,,
POI20,Nizamuddin Dargah,History and Culture,,,,
POI21,"Jantar Mantar, Delhi",History and Culture,Scenic,Local Experience,,
POI22,Delhi Zoo,Adventure,Scenic,Food and Drinks,,
POI23,Mehrauli Archaeological Park,History and Culture,Scenic,,,
POI24,Kingdom of Dreams,Adventure,Food and Drinks,,,
POI25,"Mughal Gardens, Delhi",Museum,History and Culture,,,
POI26,Rashtrapati Bhavan,History and Culture,,Local Experience,,
POI27,Jama Masjid Delhi,Religious,History and Culture,Local Experience,,
POI28,Sarojini Market,Shopping,Local Experience,,,
POI29,Connaught Place,Shopping,Local Experience,,,
POI30,ISKCON Temple Delhi,Religious,Food and Drinks,,,
POI31,Khan Market,Local Experience,Shopping,,,
POI32,Paharganj,Local Experience,Shopping,,,
POI33,Birla Mandir Delhi,Religious,,,,
POI34,Lajpat Nagar,Shopping,Local Experience,,,
POI35,Safdarjung Tomb,History and Culture,Scenic,,,
POI36,Purana Qila,History and Culture,Scenic,,,
POI37,Adventure Island,Adventure,Scenic,Food and Drinks,,
POI38,Pragati Maidan,Scenic,,,,
POI39,Rajghat,History and Culture,,,,
POI40,"National Museum, Delhi",Museum,History and Culture,,,
POI41,Crafts Museum,Museum,History and Culture,,,
POI42,Tughlaqabad Fort,History and Culture,History and Culture,,,
POI43,Teen Murti Bhavan,Scenic,,,,
POI44,Rajpath,Scenic,,,,
POI45,Sulabh International Museum of Toilets,Museum,History and Culture,,,
POI46,Nicholson Cemetery,History and Culture,,,,
POI47,Iron Pillar,History and Culture,,,,
POI48,Nehru Memorial Museum and Library,Museum,History and Culture,,,
POI49,Chhatarpur Mandir,Religious,,,,
