PID,Place,shows and concerts,scenic,Local Experience,Religious,History and culture,Museum,Food and Drinks,Adventure,Shopping
POI1,Marina Beach,2,5,3,0,0,0,4,1,0
POI2,Government Museum,0,1,2,0,4,5,0,0,3
POI3,MGR Film City,0,5,4,0,0,0,3,0,1
POI4,Breezy Beach,0,5,3,0,0,0,4,2,1
POI5,Marundeeswarar Temple,0,1,4,5,3,0,0,0,0
POI6,Arignar Anna Zoological Park,0,5,2,0,0,3,4,0,0
POI7,Valluvar Kottam,0,3,0,0,4,5,2,0,0
POI8,Ashtalakshmi Temple,0,1,3,5,4,0,0,0,0
POI9,Connemara Public Library,0,3,5,0,4,2,0,0,0
POI10,Elliot's Beach,3,5,2,0,0,0,4,1,0
POI11,VGP Golden Beach,3,5,2,0,0,0,4,1,0
POI12,ISKCON (Hare Rama Hare Krishna) Temple,0,2,1,5,3,0,4,0,0
POI13,Vivekananda House,0,3,1,0,4,5,0,0,0
POI14,Dakshinachitra Museum,0,3,2,0,4,5,0,0,0
POI15,Santhome Cathedral Basilica,0,0,3,5,4,0,0,0,0
POI16,Madras War Cemetery,0,2,3,0,5,4,0,0,0
POI17,Madras Crocodile Bank Trust,0,4,2,0,0,1,0,5,0
POI18,MGM Dizzee World,2,1,3,0,0,0,4,5,0
POI19,Shirdi Sai Baba Temple,0,1,3,5,4,0,0,0,0
POI20,Prakasam Salai,0,0,3,0,0,0,4,0,5
POI21,Thousand Lights Mosque,0,1,2,5,4,3,0,0,0
POI22,Fort StGeorge,0,0,0,4,5,0,0,0,0
POI23,Royapuram Fishing Harbour,0,1,3,0,0,2,4,5,0
POI24,Santhome Church,0,1,2,5,4,3,0,0,0
POI25,Kapaleeswarar Temple,0,4,3,5,2,0,0,0,0
POI26,Express Avenue,0,1,2,0,4,0,4,0,5
POI27,Vadapalani Murugan Temple,0,4,2,5,3,0,0,0,0
POI28,T Nagar,0,0,3,0,0,0,4,0,5
POI29,Parthasarathy Temple,0,2,3,5,4,0,0,0,0
POI30,Parasailing ,2,4,3,0,0,0,0,5,0
POI31,Scuba Diving,2,4,3,0,0,0,0,5,0
POI32,Camping ,2,4,3,0,0,0,0,5,0
POI33,Paragliding ,2,4,3,0,0,0,0,5,0
POI34,Surfing ,2,4,3,0,0,0,0,5,0
POI35,Paintball ,2,4,3,0,0,0,0,5,0
POI36,Rock climbing ,0,0,2,0,0,0,4,5,3
POI37,Jungle Safari ,0,4,3,0,0,0,0,5,0
POI38,Boating ,0,4,3,0,0,0,0,5,0
POI39,Anjaneyar Temple Nanganallur,0,0,3,5,4,0,0,0,0
POI40,Fishing In Chennai,0,0,3,5,4,0,0,0,0
POI41,Thiruvanmiyur Beach,2,5,0,0,0,0,4,3,1
POI42,Neelankarai Beach,2,5,0,0,0,0,4,3,1
POI43,Santhome Beach,2,5,0,0,0,0,4,3,1
POI44,Pebble Beach,2,5,0,0,0,0,4,3,1
POI45,Palavakkam Beach,2,5,0,0,0,0,4,3,1
POI46,Kasimedu Beach,2,5,0,0,0,0,4,3,1
