PID,POIs,Priority = 5,Priority = 4,Priority = 3,Priority = 2,Priority = 1
POI1,Hidimba Temple,Religious,History and Culture,,,
POI2,Solang Valley,Local Experiences,Scenic,,,
POI3,Manu Temple,Religious,History and Culture,,,
POI4,Rohtang Pass,Local Experiences,Scenic,,,
POI5,Vashisht Temple,Religious,History and Culture,,,
POI6,Paragliding in Manali,Adventure,,,,
POI7,Old Manali,Local Experiences,Scenic,,,
POI8,Manali Mall Road,Shopping,Local Experiences,Shopping,,
POI9,Rafting,Adventure,Scenic,,,
POI10,Manikaran,Local Experiences,Scenic,Shopping,,
POI11,Atal Tunnel,Scenic,,,,
POI12,"Van Vihar, Manali",Scenic,,,,
POI13,Jogini Waterfall,Adventure,Scenic,,,
POI14,Sethan Valley,Local Experiences,Scenic,Shopping,,
POI15,Skiing in Manali,Adventure,Scenic,,,
POI16,Jana Waterfall,Adventure,,,,
POI17,Parvati Valley,Local Experiences,,Shopping,,
POI18,The Great Himalayan National Park,Scenic,Local Experiences,,,
POI19,Kullu,Local Experiences,Scenic,Shopping,,
POI20,Arjun Gufa,Scenic,,,,
POI21,Bhrigu Lake,Scenic,,,,
POI22,Museum of Himachal Culture & Folk Art,Museum,History and Culture,,,
POI23,Nehru Kund,Scenic,,,,
POI24,Naggar,Local Experiences,Shopping,,,
POI25,Adventure Activities in Manali,Adventure,Scenic,,,
POI26,Malana,Local Experiences,Scenic,Shopping,,
POI27,Himalaya Nyingmapa Buddhist Temple,Religious,History and Culture,,,
POI28,Kothi Village Manali,Local Experiences,Shopping,,,
POI29,Gulaba,Local Experiences,,,,
POI30,Rahala Falls,Adventure,Scenic,,,
POI31,Beas Kund Trek,Adventure,,,,
POI32,Hampta Pass Trek,Adventure,,,,
POI33,Manali Club House,Adventure,,,,
POI34,Manali Sanctuary,Adventure,Scenic,,,
POI35,Jagatsukh,Local Experiences,,,,
POI36,Chanderkhani Pass,Adventure,Local Experiences,,,
POI37,Hampta Valley,Local Experiences,,,,
POI38,Gayatri Temple,Religious,History and Culture,,,
POI39,Gadhan Thekchhokling Gompa Monastery,History and Culture,Religious,,,
POI40,Siyali Mahadev Temple,Religious,History and Culture,,,
POI41,Gauri Shankar Temple,Religious,History and Culture,,,
POI42,Rozy Waterfalls,Adventure,Scenic,,,
POI43,Zorbing in Manali,Adventure,,,,
POI44,Nicholas Roerich Art Gallery,Museum,History and Culture,,,
POI45,Bhunter,Local Experiences,Scenic,,,
POI46,Knoi Waterfalls,Adventure,Scenic,,,
POI47,Sagoo Waterfall,Adventure,Scenic,,,
